group,nearest_tanimoto,id
Evaluation,0.73333335,7821
Evaluation,0.5555556,7833
Evaluation,0.58064514,7839
Evaluation,0.6666667,7849
Evaluation,0.6363636,7851
Evaluation,0.3846154,7865
Evaluation,0.45833334,7866
Evaluation,0.56666666,7867
Evaluation,0.5555556,7868
Evaluation,0.6086956,7898
Evaluation,0.7692308,7915
Evaluation,0.54545456,7925
Evaluation,0.59375,7937
Evaluation,0.6,7944
Evaluation,0.6363636,7946
Evaluation,0.5,7948
Evaluation,0.61538464,7997
Evaluation,0.48387095,8014
Evaluation,1.0,8018
Evaluation,0.4090909,8036
Evaluation,0.44444445,8047
Evaluation,0.44,8054
Evaluation,0.5714286,8071
Evaluation,0.5263158,8074
Evaluation,0.44444445,8075
Evaluation,0.53846157,8077
Evaluation,0.57894737,8091
Evaluation,0.5555556,8092
Evaluation,0.57894737,8107
Evaluation,0.5263158,8121
Evaluation,0.5652174,8124
Evaluation,0.5555556,8131
Evaluation,0.5,8132
Evaluation,0.52380955,8156
Evaluation,0.59090906,8167
Evaluation,0.5714286,8190
Evaluation,0.47368422,8191
Evaluation,0.47368422,8192
Evaluation,0.5,8202
Evaluation,0.61538464,8218
Evaluation,0.5,8219
Evaluation,0.61904764,8227
Evaluation,0.55,8228
Evaluation,0.6666667,8230
Evaluation,0.53571427,8253
Evaluation,0.6,8267
Evaluation,0.4,8284
Evaluation,0.5,8285
Evaluation,0.53846157,8304
Evaluation,0.5555556,8308
Evaluation,1.0,8332
Evaluation,1.0,8333
Evaluation,1.0,8348
Evaluation,0.31578946,8356
Evaluation,0.375,8358
Evaluation,0.5833333,8368
Evaluation,0.5,8373
Evaluation,0.4375,8383
Evaluation,0.4347826,8384
Evaluation,0.5,8385
Evaluation,0.5,8386
Evaluation,0.47058824,8395
Evaluation,0.54545456,8401
Evaluation,0.59090906,8403
Evaluation,0.47826087,8411
Evaluation,0.5263158,8419
Evaluation,0.59090906,8427
Evaluation,0.3809524,8437
Evaluation,0.4347826,8446
Evaluation,0.3846154,8447
Evaluation,0.5217391,8457
Evaluation,0.45454547,8458
Evaluation,1.0,8464
Evaluation,0.375,8471
Evaluation,0.71428573,8496
Evaluation,0.5882353,8515
Evaluation,0.6666667,8548
Evaluation,0.6666667,8581
