external_index,source_table,row_index,name,D,P,canonical_smiles,heavy_atoms,mol_wt,pred__cat_rank,pred__cat_raw,pred__lgbm_normal,pred__lgbm_rank,pred__lgbm_raw,pred__xgb_rank,pred__xgb_raw,P_pred__single_lgbm_raw,pred__vector_mu,score__cat_rank,score__cat_raw,score__lgbm_normal,score__lgbm_rank,score__lgbm_raw,score__xgb_rank,score__xgb_raw,score__vector_mu,D_score__final_eight_member,D_rank_desc,P_rank_desc,D_score__recomputed_subset
95,official_train,100,i-pentanol,1.59,68.876,CC(C)CCO,6,88.14999999999999,0.21795277275658,2.0018284632456735,-1.0115330234796525,0.1878818755020081,2.014524897369688,0.21026795,-0.76047224,66.1938025150513,0.847284734249115,0.4134078212290503,0.4525139664804469,0.329608938547486,0.3128491620111732,0.4636871508379888,0.3966480446927374,0.4469273743016759,0.2234636871508379,0.3145966480446927,129,99,0.3301585714285714
284,official_test,26,i-propanol,1.68,45.024,CC(C)O,4,60.096,0.1961167530351785,1.8774288205476584,-1.0056246822552777,0.1951602065105186,1.7965009131971388,0.20020176,-0.8095333,41.85440126125327,1.6117643117904663,0.3575418994413408,0.3631284916201117,0.3407821229050279,0.3351955307262569,0.329608938547486,0.3631284916201117,0.4078212290502793,0.4469273743016759,0.3996256983240223,106,150,0.40954342857142856
273,official_test,15,"Isopropyl 2,2-dimethylpropanoate",1.949,89.235,CC(C)OC(=O)C(C)(C)C,10,144.21399999999997,0.2143714272479178,1.923477261227921,-0.8331713749090094,0.2077866410979135,1.8924800720479813,0.21195449,-0.89815,103.51348432088072,1.2334144115447998,0.3966480446927374,0.4189944134078212,0.4860335195530726,0.3798882681564245,0.4301675977653631,0.4022346368715084,0.3743016759776536,0.3463687150837989,0.3708435754189944,116,37,0.38271
214,official_train,226,2-Propanethiol,1.847,57.24110509,CC(C)S,4,76.164,0.1918571335141975,1.717054149952206,-1.0825355468436697,0.1552682961963292,1.6030450762990944,0.15971534,-1.0191866,56.11753009457189,1.7522449493408203,0.3184357541899441,0.2681564245810056,0.2737430167597765,0.2290502793296089,0.2346368715083799,0.2234636871508379,0.2793296089385474,0.4804469273743016,0.3413870391061452,122,119,0.3497105714285714
86,official_train,91,diaminoethane,0.01,46.833,CC(N)N,4,60.099999999999994,0.1926082787048635,1.9229383785570513,-1.1879144168619218,0.2284706385492507,1.7330483582652496,0.16464205,-1.0107801,41.92826084277942,0.4939019680023193,0.329608938547486,0.4134078212290503,0.2290502793296089,0.435754189944134,0.2905027932960894,0.2290502793296089,0.2905027932960894,0.1508379888268156,0.2417291620111732,144,149,0.25050685714285714
121,official_train,126,丙二醇,3.3728,46.941,CC(O)CO,5,76.095,0.3037506552732915,2.1844949679188828,-0.9755762886778224,0.2629781011345725,1.768602909105013,0.2709508,-0.8021452,44.78003386270696,1.2238852977752686,0.5363128491620112,0.5251396648044693,0.3743016759776536,0.5251396648044693,0.3072625698324022,0.5195530726256983,0.4245810055865922,0.3407821229050279,0.4312029050279329,96,144,0.44577
153,official_train,161,(Z)-hex-3-ene,0.318,75.35354229,CC/C=C\CC,6,84.162,0.0340758225434107,0.7789040031313088,-2.6606573336782464,0.0361951490599468,0.5039019335978445,0.037581798,-2.3703077,74.1592568874706,0.3385900259017944,0.0782122905027933,0.0893854748603352,0.0837988826815642,0.0670391061452514,0.0782122905027933,0.0614525139664804,0.0726256983240223,0.1117318435754189,0.0854147486033519,165,80,0.08403942857142857
323,official_test,65,Thioacetaldehyde,2.665,43.88621939,CC=S,3,60.120999999999995,0.3672650288898257,2.6331824769829177,-0.3881290617127693,0.3709477156067372,2.596074256643383,0.36794427,-0.112785056,42.65177390181184,2.574357748031616,0.6256983240223464,0.659217877094972,0.6424581005586593,0.6536312849162011,0.6424581005586593,0.6368715083798883,0.6703910614525139,0.6703910614525139,0.6587012290502794,59,148,0.6991865714285714
60,official_train,65,Propionyl chloride,3.642,43.629,CCC(=O)Cl,5,92.525,0.4695331683751483,3.0473413667463274,-0.0322688390634584,0.458512040106441,3.059336284161569,0.4684149,0.30005276,49.26466818465715,3.085896253585815,0.776536312849162,0.7653631284916201,0.7821229050279329,0.7486033519553073,0.776536312849162,0.776536312849162,0.7541899441340782,0.7541899441340782,0.7589608938547485,43,133,0.8123817142857142
160,official_train,168,2-Butanamine,1.289,58.88364131,CCC(C)N,5,73.13900000000001,0.1207739214032841,1.3891809671354622,-1.476101599817692,0.159810488563605,1.3553459735820146,0.1323646,-1.4365424,57.672844438670026,0.3013712465763092,0.1675977653631284,0.1731843575418994,0.1452513966480447,0.2402234636871508,0.1787709497206704,0.1452513966480447,0.1620111731843575,0.0949720670391061,0.1434312849162011,156,117,0.13894314285714285
32,official_train,33,Diethyl,3.641,97.747,CCCC,4,58.123999999999995,0.0094050337763402,0.2731091900512754,-3.125144771603857,0.034948356103391,0.2346132884648444,0.040901843,-2.6985629,50.14700237189235,0.0011638936121016,0.0502793296089385,0.0223463687150838,0.0391061452513966,0.0558659217877094,0.0391061452513966,0.0670391061452514,0.0223463687150838,0.0223463687150838,0.0398869273743016,174,130,0.03994771428571428
285,official_test,27,n-hexane,0.0,77.05,CCCCCC,6,86.178,0.0258722300613881,0.5697997493294129,-3.137099117743161,0.0317817850819477,0.3615647147946648,0.053995926,-2.577333,74.26237180718078,0.0846969783306121,0.0726256983240223,0.0670391061452514,0.0335195530726257,0.0502793296089385,0.0614525139664804,0.0893854748603352,0.0446927374301676,0.0614525139664804,0.0642402234636871,169,79,0.06125228571428571
98,official_train,103,n-heptane,0.09,89.579,CCCCCCC,7,100.205,0.037226267232843,0.5649890854550903,-3.083672223663447,0.0297376583782549,0.3507870919976964,0.052865196,-2.4859369,87.07765529543526,0.1820618361234665,0.0837988826815642,0.0614525139664804,0.0446927374301676,0.0391061452513966,0.0558659217877094,0.0837988826815642,0.0670391061452514,0.0726256983240223,0.0685684916201117,168,57,0.06678628571428571
